Genus_&_Specie,Time_(Ma),Location,Zone,Current_Country,Habitat,Cranial_Capacity_(cm³),Height_(cm),Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton,Cranial_Capacity_normalized,Height_normalized,Time_years,full_address,Latitude,Longitude
Homo Habilis,2.26533808,Africa,oriental,Ethiopia,savannah,662.97665,127.5832,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.4577311571802179,0.6897080761341206,2265338.0799999996,Ethiopia,10.2116702,38.6521203
Homo Ergaster,1.42253806,Africa,oriental,Kenya,savannah,842.08636,166.5936,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5813917639610348,0.9005962489752352,1422538.0599999998,Kenya,1.4419683,38.4313975
Homo Floresiensis,0.67081389,Asia ,oriental,Indonesia,peninsular,430.52076,108.57298,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.2972393758738062,0.5869398255879171,670813.89,Indonesia,-2.4833826,117.8902853
hominino Orrorin tugenencin,6.69465767,Africa,oriental,Kenya,forest,94.31083,114.01879,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.06511391517412689,0.6163795883316949,6694657.67,Kenya,1.4419683,38.4313975
Australopithecus Sediba,1.87709281,Africa,south,South Africa,mixed,483.29616,105.47499,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.3336764734890071,0.5701922544125371,1877092.81,South Africa,-28.8166236,24.991639
Australopithecus Afarensis,3.62678804,Africa,oriental,Kenya,mixed,268.11583,124.07907,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.18511205353044424,0.6707649334568412,3626788.04,Kenya,1.4419683,38.4313975
Homo Habilis,2.32192925,Africa,oriental,Ethiopia,savannah,675.81761,120.27918,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.4665967898991151,0.650222927758432,2321929.25,Ethiopia,10.2116702,38.6521203
Homo Heidelbergensis,0.23546877,Europa,central,Germany,cold forest,1393.69217,165.14856,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.9622304642661381,0.8927844386558761,235468.77,Germany,51.1638175,10.4478313
Homo Heidelbergensis,0.24033622,Europa,central,Germany,cold forest,1167.80448,177.57102,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8062734878983183,0.9599396047549633,240336.22,Germany,51.1638175,10.4478313
Homo Habilis,3.0667152,Africa,oriental,Ethiopia,savannah,660.59081,134.24655,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.4560839297793029,0.7257297961498302,3066715.2,Ethiopia,10.2116702,38.6521203
Australopithecus Anamensis,4.79143373,Africa,oriental,Kenya,forest-gallery,425.63313,113.07874,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.2938648670796145,0.6112977274207765,4791433.7299999995,Kenya,1.4419683,38.4313975
Homo Rodhesiensis,1.24108507,Africa,oriental,Ethiopia,savannah,1049.07888,147.59665,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7243031707311667,0.7978997353518421,1241085.07,Ethiopia,10.2116702,38.6521203
Australopithecus Garhi,2.40421533,Africa,oriental,Ethiopia,mixed,292.98891,116.27049,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.20228488109689943,0.6285521602301204,2404215.33,Ethiopia,10.2116702,38.6521203
Homo Floresiensis,0.46908276,Asia ,oriental,Indonesia,peninsular,262.80356,100.64736,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.18144436554421764,0.5440943402703352,469082.76,Indonesia,-2.4833826,117.8902853
Australopithecus Garhi,2.20570089,Africa,oriental,Ethiopia,mixed,521.76256,125.03132,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.36023437682475373,0.6759127469267864,2205700.89,Ethiopia,10.2116702,38.6521203
Homo Habilis,3.02370333,Africa,oriental,Ethiopia,savannah,694.51226,121.89119,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.4795039168357564,0.6589373691253907,3023703.33,Ethiopia,10.2116702,38.6521203
Paranthropus Aethiopicus,2.67974784,Africa,oriental,Kenya,forest-savanna,489.15948,106.36553,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3377246164341891,0.5750064668646505,2679747.8400000003,Kenya,1.4419683,38.4313975
Homo Ergaster,1.85095758,Africa,oriental,Kenya,savannah,709.08494,161.69638,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.48956516059089766,0.8741221349492071,1850957.58,Kenya,1.4419683,38.4313975
Homo Erectus,1.41571772,Asia ,west,Indonesia,savannah,1035.41313,165.50433,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7148680879703552,0.8947077125841538,1415717.72,Indonesia,-2.4833826,117.8902853
Homo Naledi,0.82529102,Africa,south,South Africa,jungle,314.39115,132.91261,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.21706137749605428,0.7185185865934125,825291.02,South Africa,-28.8166236,24.991639
Paranthropus Aethiopicus,2.39757018,Africa,oriental,Kenya,forest-savanna,354.76615,108.88044,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.24493701304242127,0.5886019381943433,2397570.18,Kenya,1.4419683,38.4313975
hominino Ardipithecus ramidus / kabadda,3.87933887,Africa,oriental,Ethiopia,mixed,250.16537,108.70408,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.1727187289273572,0.5876485453000828,3879338.87,Ethiopia,10.2116702,38.6521203
Homo Floresiensis,0.4156997,Asia ,oriental,Indonesia,peninsular,293.04043,90.5377,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.20232045144348396,0.48944204945955394,415699.7,Indonesia,-2.4833826,117.8902853
"Homo Neanderthalensis
",0.65517902,Europa,central,Germany,cold forest,1235.00551,161.34652,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8526703032697233,0.8722308101704253,655179.0199999999,Germany,51.1638175,10.4478313
Homo Habilis,3.18186327,Africa,oriental,Ethiopia,savannah,880.83066,130.7141,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.6081415345195266,0.7066335570404492,3181863.27,Ethiopia,10.2116702,38.6521203
hominino Orrorin tugenencin,5.70277995,Africa,oriental,Kenya,forest,34.88811,128.7248,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.024087386730936498,0.6958795057558473,5702779.95,Kenya,1.4419683,38.4313975
Australopithecus Sediba,1.93985121,Africa,south,South Africa,mixed,535.01891,105.72544,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.36938680236717064,0.5715461739541993,1939851.21,South Africa,-28.8166236,24.991639
hominino Sahelanthropus tchadensis,7.1185498,Africa,central,Republic of Chad,mixed,83.99755,89.58885,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.057993438776166875,0.4843126162109768,7118549.8,Republic of Chad,15.6134137,19.0156172
hominino Orrorin tugenencin,6.44673393,Africa,oriental,Kenya,forest,71.33739,129.64546,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.04925263367105991,0.7008565453454928,6446733.93,Kenya,1.4419683,38.4313975
Australopithecus Bahrelghazali,4.04299216,Africa,central,Republic of Chad,mixed,324.96268,127.65255,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.22436015439877835,0.690082978590556,4042992.1599999997,Republic of Chad,15.6134137,19.0156172
Australopithecus Sediba,2.09073924,Africa,south,South Africa,mixed,387.5054,105.61939,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.2675407876817128,0.5709728732259369,2090739.24,South Africa,-28.8166236,24.991639
Australopithecus Africanus,3.58597809,Africa,south,South Africa,forest-gallery,604.84791,103.78203,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.4175980161025826,0.5610402015985928,3585978.09,South Africa,-28.8166236,24.991639
Homo Floresiensis,0.48545358,Asia ,oriental,Indonesia,peninsular,385.54989,90.16338,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.26619066795249235,0.48741849520587066,485453.58,Indonesia,-2.4833826,117.8902853
Homo Antecesor,0.86824455,Europa,west,Spain,savannah,1011.9671,164.26734,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6986805217217066,0.8880206096341011,868244.55,Spain,39.3260685,-4.8379791
Homo Antecesor,1.1789683,Europa,west,Spain,savannah,1122.03873,172.51125,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.7746759803439865,0.9325867539691142,1178968.3,Spain,39.3260685,-4.8379791
Australopithecus Afarensis,3.82240304,Africa,oriental,Kenya,mixed,407.16377,134.16188,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.2811132844632765,0.7252720745782888,3822403.04,Kenya,1.4419683,38.4313975
Australopithecus Anamensis,4.40467549,Africa,oriental,Kenya,forest-gallery,279.54696,111.88732,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.19300431393324652,0.6048569734965317,4404675.49,Kenya,1.4419683,38.4313975
Australopithecus Bahrelghazali,4.12848123,Africa,central,Republic of Chad,mixed,429.61938,125.42542,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.29661704670058553,0.6780432308212526,4128481.2300000004,Republic of Chad,15.6134137,19.0156172
Homo Floresiensis,0.8227852,Asia ,oriental,Indonesia,peninsular,192.26783,97.01095,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.13274521254169272,0.524436098862886,822785.2,Indonesia,-2.4833826,117.8902853
Homo Floresiensis,0.09561328,Asia ,oriental,Indonesia,peninsular,405.21693,92.09217,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.2797691506600049,0.4978454326095941,95613.28,Indonesia,-2.4833826,117.8902853
Homo Floresiensis,0.47300951,Asia ,oriental,Indonesia,peninsular,151.4154,106.90028,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.10453995062556964,0.577897297269537,473009.51,Indonesia,-2.4833826,117.8902853
Australopithecus Garhi,2.59780641,Africa,oriental,Ethiopia,mixed,419.55823,124.67842,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.2896706454478962,0.6740049880677225,2597806.41,Ethiopia,10.2116702,38.6521203
hominino Ardipithecus ramidus / kabadda,4.0012227,Africa,oriental,Ethiopia,mixed,211.58852,115.05333,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.14608456889944718,0.6219722572182238,4001222.6999999997,Ethiopia,10.2116702,38.6521203
Homo Rudolfensis,2.38561264,Africa,oriental,Kenya,savannah,740.89596,132.95943,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.5115280683278188,0.7187716930535467,2385612.64,Kenya,1.4419683,38.4313975
Homo Ergaster,1.3613108,Africa,oriental,Kenya,savannah,704.83575,152.91927,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.4866314424037208,0.8266735394278725,1361310.8,Kenya,1.4419683,38.4313975
hominino Sahelanthropus tchadensis,6.93287689,Africa,central,Republic of Chad,mixed,274.88231,96.1717,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.18978375459327473,0.5198991574560584,6932876.890000001,Republic of Chad,15.6134137,19.0156172
Australopithecus Sediba,2.02185849,Africa,south,South Africa,mixed,489.87297,104.47612,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.33821722292845485,0.5647924156719498,2021858.49,South Africa,-28.8166236,24.991639
Australopithecus Sediba,1.85499348,Africa,south,South Africa,mixed,447.75133,100.56443,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.3091356753060332,0.5436460250473764,1854993.48,South Africa,-28.8166236,24.991639
Homo Rudolfensis,2.79096796,Africa,oriental,Kenya,savannah,773.89479,126.40255,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.5343110617281042,0.683325544264033,2790967.96,Kenya,1.4419683,38.4313975
Homo Rudolfensis,2.97881024,Africa,oriental,Kenya,savannah,662.23585,134.07793,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.4572196953644223,0.7248182452889196,2978810.24,Kenya,1.4419683,38.4313975
Homo Erectus,1.64931066,Asia ,west,Indonesia,savannah,1030.96013,161.04807,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7117936556461949,0.8706174051506246,1649310.6600000001,Indonesia,-2.4833826,117.8902853
Australopithecus Sediba,2.08714928,Africa,south,South Africa,mixed,442.6583,106.88199,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.3056193546098917,0.5777984224904714,2087149.2800000003,South Africa,-28.8166236,24.991639
Australopithecus Africanus,3.62241969,Africa,south,South Africa,forest-gallery,496.06453,111.90111,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.3424919887494694,0.6049315215120219,3622419.69,South Africa,-28.8166236,24.991639
Homo Rodhesiensis,0.47435386,Africa,oriental,Ethiopia,savannah,1245.95841,141.18947,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.8602323849681951,0.7632628568972727,474353.86000000004,Ethiopia,10.2116702,38.6521203
Homo Naledi,0.00341316,Africa,south,South Africa,jungle,411.15297,127.03654,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.2838675008179902,0.6867528608949709,3413.1600000000003,South Africa,-28.8166236,24.991639
Paranthropus Boisei,2.7422201,Africa,oriental,Ethiopia,forest,389.39607,112.00556,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.2688461406936868,0.6054961727243462,2742220.1,Ethiopia,10.2116702,38.6521203
Paranthropus Boisei,2.37512361,Africa,oriental,Ethiopia,forest,351.20128,116.60393,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.2424757618500949,0.630354719351589,2375123.6100000003,Ethiopia,10.2116702,38.6521203
Homo Antecesor,0.95298473,Europa,west,Spain,savannah,999.63176,160.03214,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6901639782621272,0.865125340946349,952984.73,Spain,39.3260685,-4.8379791
Homo Georgicus,2.44508435,Asia ,west,Georgia,savannah,736.4606,148.38941,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5084658149810217,0.8021853542611975,2445084.35,Georgia,32.3293809,-83.1137366
hominino Ardipithecus ramidus / kabadda,3.70179236,Africa,oriental,Ethiopia,mixed,372.09394,108.53431,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.2569004349337892,0.5867307775995918,3701792.36,Ethiopia,10.2116702,38.6521203
Homo Rodhesiensis,0.66771933,Africa,oriental,Ethiopia,savannah,1108.90331,154.02518,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7656070470766563,0.8326520307847085,667719.3300000001,Ethiopia,10.2116702,38.6521203
Homo Rudolfensis,2.23795169,Africa,oriental,Kenya,savannah,717.96622,130.85293,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.49569695810087266,0.7073840647264901,2237951.69,Kenya,1.4419683,38.4313975
Homo Georgicus,2.15650834,Asia ,west,Georgia,savannah,861.74063,148.0892,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5949614300279052,0.8005624347738652,2156508.34,Georgia,32.3293809,-83.1137366
Homo Georgicus,2.19196428,Asia ,west,Georgia,savannah,771.74115,146.2849,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5328241494373778,0.7908084837695888,2191964.2800000003,Georgia,32.3293809,-83.1137366
Australopithecus Afarensis,3.84027634,Africa,oriental,Kenya,mixed,428.76317,120.4317,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.2960259037182659,0.6510474428652171,3840276.34,Kenya,1.4419683,38.4313975
Australopithecus Sediba,2.4907746,Africa,south,South Africa,mixed,297.18657,102.5543,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.20518302203330968,0.5544031577220311,2490774.6,South Africa,-28.8166236,24.991639
Homo Ergaster,1.69159176,Africa,oriental,Kenya,savannah,994.36499,151.5891,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.6865277043048135,0.8194827102933835,1691591.76,Kenya,1.4419683,38.4313975
Paranthropus Boisei,2.80450828,Africa,oriental,Ethiopia,forest,446.24413,100.43626,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.30809507696806454,0.5429531447612721,2804508.28,Ethiopia,10.2116702,38.6521203
Australopithecus Bahrelghazali,4.00413988,Africa,central,Republic of Chad,mixed,272.6152,127.73668,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.18821850054736702,0.6905377809504684,4004139.8800000004,Republic of Chad,15.6134137,19.0156172
Australopithecus Africanus,3.82098454,Africa,south,South Africa,forest-gallery,420.63577,110.9498,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.2904145986943763,0.5997887896326902,3820984.54,South Africa,-28.8166236,24.991639
Paranthropus Boisei,2.49379967,Africa,oriental,Ethiopia,forest,500.02644,100.59538,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3452273635910176,0.5438133391213011,2493799.67,Ethiopia,10.2116702,38.6521203
Australopithecus Sediba,2.00733594,Africa,south,South Africa,mixed,345.17796,115.74304,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.23831715199005418,0.6257007932417007,2007335.94,South Africa,-28.8166236,24.991639
Australopithecus Garhi,2.44489926,Africa,oriental,Ethiopia,mixed,248.18023,119.45903,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.17134815210634136,0.6457892399481138,2444899.2600000002,Ethiopia,10.2116702,38.6521203
Homo Rodhesiensis,0.95415133,Africa,oriental,Ethiopia,savannah,1032.05008,149.86527,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7125461769827587,0.8101637758813114,954151.33,Ethiopia,10.2116702,38.6521203
Australopithecus Sediba,2.10281507,Africa,south,South Africa,mixed,340.10024,109.30991,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.23481140159682823,0.5909236304505128,2102815.0700000003,South Africa,-28.8166236,24.991639
Paranthropus Aethiopicus,3.13924862,Africa,oriental,Kenya,forest-savanna,578.78957,115.60549,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3996068634392188,0.6249572051684101,3139248.62,Kenya,1.4419683,38.4313975
Homo Erectus,1.82140684,Asia ,west,Indonesia,savannah,993.74889,158.36033,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.6861023376407858,0.8560876239212094,1821406.84,Indonesia,-2.4833826,117.8902853
Australopithecus Garhi,2.69211735,Africa,oriental,Ethiopia,mixed,497.48781,124.03345,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.34347464719059473,0.6705183141336605,2692117.35,Ethiopia,10.2116702,38.6521203
Homo Naledi,0.97552038,Africa,south,South Africa,jungle,210.35056,128.6145,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.14522985876245695,0.695283229750875,975520.38,South Africa,-28.8166236,24.991639
Paranthropus Boisei,2.94906129,Africa,oriental,Ethiopia,forest,483.21352,118.47866,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3336194173274826,0.640489411235559,2949061.29,Ethiopia,10.2116702,38.6521203
hominino Sahelanthropus tchadensis,6.83300899,Africa,central,Republic of Chad,mixed,33.42806,91.11988,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.023079341611940262,0.49258928395252605,6833008.989999999,Republic of Chad,15.6134137,19.0156172
Australopithecus Sediba,1.66980849,Africa,south,South Africa,mixed,386.89106,113.00975,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.2671166361537486,0.6109247711054271,1669808.49,South Africa,-28.8166236,24.991639
Australopithecus Bahrelghazali,3.81368533,Africa,central,Republic of Chad,mixed,421.34307,128.75909,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.29090293149987345,0.6960648756942925,3813685.33,Republic of Chad,15.6134137,19.0156172
Homo Sapiens,0.48718992,Africa,oriental,Kenya,savannah,1345.30692,162.38435,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.9288244061901046,0.8778412646241016,487189.92,Kenya,1.4419683,38.4313975
Australopithecus Bahrelghazali,3.39087067,Africa,central,Republic of Chad,mixed,282.89681,120.00624,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.1953171114003672,0.6487474284583671,3390870.67,Republic of Chad,15.6134137,19.0156172
Homo Rodhesiensis,1.14031032,Africa,oriental,Ethiopia,savannah,981.44051,149.12024,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.67760440785636,0.8061361828442798,1140310.32,Ethiopia,10.2116702,38.6521203
Australopithecus Sediba,2.06941588,Africa,south,South Africa,mixed,373.77234,116.95935,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.2580592328706567,0.6322761011982553,2069415.8800000001,South Africa,-28.8166236,24.991639
